#PSV-2.3   input_N:14228053
'GGAPBE96'   7.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Nitrogen with non-relativistic                                          
# title (comment) of psv input file:
# Nitrogen                                                                
# stiffness=   0.8433700
# 
     5.00000000000000
    2
    1    1
      8023    0.120365354305866E+01
       1.74801213       3.56773176      -0.74801213       2.02483941
10000
    0.797670394762699E-06   -0.110093629766932E+02
    0.799132838726386E-06   -0.110093629767004E+02
    0.800597963925782E-06   -0.110093629767076E+02
    0.802065775276649E-06   -0.110093629767148E+02
    0.803536277703760E-06   -0.110093629767221E+02
    0.805009476140917E-06   -0.110093629767294E+02
    0.806485375530970E-06   -0.110093629767367E+02
    0.807963980825827E-06   -0.110093629767440E+02
    0.809445296986478E-06   -0.110093629767513E+02
    0.810929328983008E-06   -0.110093629767587E+02
    0.812416081794613E-06   -0.110093629767661E+02
    0.813905560409619E-06   -0.110093629767736E+02
    0.815397769825497E-06   -0.110093629767811E+02
    0.816892715048881E-06   -0.110093629767886E+02
    0.818390401095582E-06   -0.110093629767961E+02
    0.819890832990611E-06   -0.110093629768036E+02
    0.821394015768186E-06   -0.110093629768112E+02
    0.822899954471761E-06   -0.110093629768188E+02
    0.824408654154031E-06   -0.110093629768264E+02
    0.825920119876960E-06   -0.110093629768341E+02
    0.827434356711788E-06   -0.110093629768418E+02
    0.828951369739055E-06   -0.110093629768495E+02
    0.830471164048615E-06   -0.110093629768573E+02
    0.831993744739653E-06   -0.110093629768650E+02
    0.833519116920705E-06   -0.110093629768728E+02
    0.835047285709671E-06   -0.110093629768807E+02
    0.836578256233834E-06   -0.110093629768885E+02
    0.838112033629878E-06   -0.110093629768964E+02
    0.839648623043905E-06   -0.110093629769043E+02
    0.841188029631451E-06   -0.110093629769123E+02
    0.842730258557506E-06   -0.110093629769203E+02
    0.844275314996525E-06   -0.110093629769283E+02
    0.845823204132456E-06   -0.110093629769363E+02
    0.847373931158746E-06   -0.110093629769443E+02
    0.848927501278365E-06   -0.110093629769525E+02
    0.850483919703825E-06   -0.110093629769606E+02
    0.852043191657190E-06   -0.110093629769688E+02
    0.853605322370102E-06   -0.110093629769769E+02
    0.855170317083793E-06   -0.110093629769851E+02
    0.856738181049103E-06   -0.110093629769934E+02
    0.858308919526501E-06   -0.110093629770017E+02
    0.859882537786100E-06   -0.110093629770099E+02
    0.861459041107675E-06   -0.110093629770183E+02
    0.863038434780679E-06   -0.110093629770267E+02
    0.864620724104267E-06   -0.110093629770350E+02
    0.866205914387304E-06   -0.110093629770434E+02
    0.867794010948394E-06   -0.110093629770519E+02
    0.869385019115887E-06   -0.110093629770604E+02
    0.870978944227905E-06   -0.110093629770689E+02
    0.872575791632356E-06   -0.110093629770775E+02
    0.874175566686953E-06   -0.110093629770860E+02
    0.875778274759232E-06   -0.110093629770947E+02
    0.877383921226568E-06   -0.110093629771033E+02
    0.878992511476198E-06   -0.110093629771120E+02
    0.880604050905233E-06   -0.110093629771207E+02
    0.882218544920681E-06   -0.110093629771295E+02
    0.883835998939463E-06   -0.110093629771382E+02
    0.885456418388429E-06   -0.110093629771470E+02
    0.887079808704382E-06   -0.110093629771559E+02
    0.888706175334090E-06   -0.110093629771647E+02
    0.890335523734309E-06   -0.110093629771737E+02
    0.891967859371798E-06   -0.110093629771826E+02
    0.893603187723339E-06   -0.110093629771916E+02
    0.895241514275757E-06   -0.110093629772006E+02
    0.896882844525934E-06   -0.110093629772096E+02
    0.898527183980830E-06   -0.110093629772187E+02
    0.900174538157504E-06   -0.110093629772278E+02
    0.901824912583127E-06   -0.110093629772369E+02
    0.903478312795005E-06   -0.110093629772461E+02
    0.905134744340596E-06   -0.110093629772553E+02
    0.906794212777528E-06   -0.110093629772645E+02
    0.908456723673620E-06   -0.110093629772738E+02
    0.910122282606896E-06   -0.110093629772831E+02
    0.911790895165610E-06   -0.110093629772924E+02
    0.913462566948259E-06   -0.110093629773018E+02
    0.915137303563606E-06   -0.110093629773112E+02
    0.916815110630696E-06   -0.110093629773206E+02
    0.918495993778876E-06   -0.110093629773301E+02
    0.920179958647814E-06   -0.110093629773396E+02
    0.921867010887518E-06   -0.110093629773491E+02
    0.923557156158354E-06   -0.110093629773587E+02
    0.925250400131067E-06   -0.110093629773684E+02
    0.926946748486797E-06   -0.110093629773780E+02
    0.928646206917102E-06   -0.110093629773877E+02
    0.930348781123971E-06   -0.110093629773974E+02
    0.932054476819852E-06   -0.110093629774072E+02
    0.933763299727662E-06   -0.110093629774170E+02
    0.935475255580813E-06   -0.110093629774268E+02
    0.937190350123226E-06   -0.110093629774366E+02
    0.938908589109357E-06   -0.110093629774465E+02
    0.940629978304207E-06   -0.110093629774565E+02
    0.942354523483351E-06   -0.110093629774665E+02
    0.944082230432950E-06   -0.110093629774765E+02
    0.945813104949775E-06   -0.110093629774865E+02
    0.947547152841225E-06   -0.110093629774966E+02
    0.949284379925343E-06   -0.110093629775067E+02
    0.951024792030843E-06   -0.110093629775169E+02
    0.952768394997123E-06   -0.110093629775271E+02
    0.954515194674287E-06   -0.110093629775373E+02
    0.956265196923166E-06   -0.110093629775476E+02
    0.958018407615334E-06   -0.110093629775579E+02
    0.959774832633132E-06   -0.110093629775682E+02
    0.961534477869684E-06   -0.110093629775786E+02
    0.963297349228920E-06   -0.110093629775890E+02
    0.965063452625592E-06   -0.110093629775995E+02
    0.966832793985298E-06   -0.110093629776100E+02
    0.968605379244501E-06   -0.110093629776205E+02
    0.970381214350543E-06   -0.110093629776311E+02
    0.972160305261676E-06   -0.110093629776418E+02
    0.973942657947072E-06   -0.110093629776524E+02
    0.975728278386846E-06   -0.110093629776631E+02
    0.977517172572082E-06   -0.110093629776738E+02
    0.979309346504842E-06   -0.110093629776846E+02
