#PSV-2.3   Si.psv.in:1479f9c6
'GGAPBE96'  14.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Si -- GGA, non-relarivistic, 2013.06.26 K. Sawada                       
# title (comment) of psv input file:
# Si -- GGA, non-relativistic, 2013.06.26 K. Sawada                       
# stiffness=   0.8557662
# 
     4.00000000000000
    2
    1    1
      1685    0.251068720072167E+01
       1.92620580       1.13109540      -0.92620580       0.53380932
 2000
    0.324122074286351E-05   -0.505691904101368E+01
    0.327105405048511E-05   -0.505691904101393E+01
    0.330116195410441E-05   -0.505691904101419E+01
    0.333154698119718E-05   -0.505691904101444E+01
    0.336221168250292E-05   -0.505691904101471E+01
    0.339315863223904E-05   -0.505691904101498E+01
    0.342439042831692E-05   -0.505691904101525E+01
    0.345590969255999E-05   -0.505691904101553E+01
    0.348771907092388E-05   -0.505691904101581E+01
    0.351982123371847E-05   -0.505691904101610E+01
    0.355221887583211E-05   -0.505691904101640E+01
    0.358491471695780E-05   -0.505691904101670E+01
    0.361791150182156E-05   -0.505691904101700E+01
    0.365121200041279E-05   -0.505691904101731E+01
    0.368481900821682E-05   -0.505691904101763E+01
    0.371873534644961E-05   -0.505691904101795E+01
    0.375296386229452E-05   -0.505691904101828E+01
    0.378750742914140E-05   -0.505691904101862E+01
    0.382236894682775E-05   -0.505691904101896E+01
    0.385755134188216E-05   -0.505691904101931E+01
    0.389305756777001E-05   -0.505691904101966E+01
    0.392889060514139E-05   -0.505691904102002E+01
    0.396505346208129E-05   -0.505691904102039E+01
    0.400154917436218E-05   -0.505691904102076E+01
    0.403838080569879E-05   -0.505691904102114E+01
    0.407555144800535E-05   -0.505691904102153E+01
    0.411306422165514E-05   -0.505691904102192E+01
    0.415092227574239E-05   -0.505691904102233E+01
    0.418912878834671E-05   -0.505691904102274E+01
    0.422768696679982E-05   -0.505691904102315E+01
    0.426660004795485E-05   -0.505691904102358E+01
    0.430587129845800E-05   -0.505691904102401E+01
    0.434550401502282E-05   -0.505691904102445E+01
    0.438550152470695E-05   -0.505691904102490E+01
    0.442586718519141E-05   -0.505691904102536E+01
    0.446660438506244E-05   -0.505691904102582E+01
    0.450771654409604E-05   -0.505691904102630E+01
    0.454920711354494E-05   -0.505691904102678E+01
    0.459107957642844E-05   -0.505691904102727E+01
    0.463333744782472E-05   -0.505691904102777E+01
    0.467598427516593E-05   -0.505691904102828E+01
    0.471902363853603E-05   -0.505691904102880E+01
    0.476245915097129E-05   -0.505691904102933E+01
    0.480629445876361E-05   -0.505691904102987E+01
    0.485053324176659E-05   -0.505691904103042E+01
    0.489517921370450E-05   -0.505691904103098E+01
    0.494023612248397E-05   -0.505691904103155E+01
    0.498570775050867E-05   -0.505691904103213E+01
    0.503159791499680E-05   -0.505691904103272E+01
    0.507791046830155E-05   -0.505691904103332E+01
    0.512464929823449E-05   -0.505691904103394E+01
    0.517181832839194E-05   -0.505691904103456E+01
    0.521942151848434E-05   -0.505691904103520E+01
    0.526746286466868E-05   -0.505691904103584E+01
    0.531594639988394E-05   -0.505691904103650E+01
    0.536487619418964E-05   -0.505691904103718E+01
    0.541425635510756E-05   -0.505691904103786E+01
    0.546409102796648E-05   -0.505691904103856E+01
    0.551438439625023E-05   -0.505691904103927E+01
    0.556514068194887E-05   -0.505691904103999E+01
    0.561636414591307E-05   -0.505691904104073E+01
    0.566805908821186E-05   -0.505691904104148E+01
    0.572022984849358E-05   -0.505691904104224E+01
    0.577288080635016E-05   -0.505691904104302E+01
    0.582601638168483E-05   -0.505691904104381E+01
    0.587964103508309E-05   -0.505691904104462E+01
    0.593375926818723E-05   -0.505691904104544E+01
    0.598837562407417E-05   -0.505691904104628E+01
    0.604349468763690E-05   -0.505691904104713E+01
    0.609912108596931E-05   -0.505691904104800E+01
    0.615525948875467E-05   -0.505691904104888E+01
    0.621191460865761E-05   -0.505691904104978E+01
    0.626909120171974E-05   -0.505691904105070E+01
    0.632679406775890E-05   -0.505691904105163E+01
    0.638502805077212E-05   -0.505691904105259E+01
    0.644379803934222E-05   -0.505691904105355E+01
    0.650310896704823E-05   -0.505691904105454E+01
    0.656296581287952E-05   -0.505691904105555E+01
    0.662337360165380E-05   -0.505691904105657E+01
    0.668433740443891E-05   -0.505691904105761E+01
    0.674586233897856E-05   -0.505691904105868E+01
    0.680795357012191E-05   -0.505691904105976E+01
    0.687061631025716E-05   -0.505691904106086E+01
    0.693385581974915E-05   -0.505691904106198E+01
    0.699767740738087E-05   -0.505691904106313E+01
    0.706208643079923E-05   -0.505691904106429E+01
    0.712708829696471E-05   -0.505691904106547E+01
    0.719268846260534E-05   -0.505691904106668E+01
    0.725889243467473E-05   -0.505691904106791E+01
    0.732570577081440E-05   -0.505691904106917E+01
    0.739313407982028E-05   -0.505691904107044E+01
    0.746118302211360E-05   -0.505691904107174E+01
    0.752985831021606E-05   -0.505691904107306E+01
    0.759916570922935E-05   -0.505691904107441E+01
    0.766911103731913E-05   -0.505691904107579E+01
    0.773970016620347E-05   -0.505691904107718E+01
    0.781093902164574E-05   -0.505691904107861E+01
    0.788283358395206E-05   -0.505691904108006E+01
    0.795538988847337E-05   -0.505691904108153E+01
    0.802861402611200E-05   -0.505691904108304E+01
    0.810251214383308E-05   -0.505691904108457E+01
    0.817709044518049E-05   -0.505691904108613E+01
    0.825235519079768E-05   -0.505691904108772E+01
    0.832831269895317E-05   -0.505691904108934E+01
    0.840496934607104E-05   -0.505691904109099E+01
    0.848233156726612E-05   -0.505691904109267E+01
    0.856040585688428E-05   -0.505691904109438E+01
    0.863919876904755E-05   -0.505691904109612E+01
    0.871871691820437E-05   -0.505691904109790E+01
    0.879896697968481E-05   -0.505691904109970E+01
    0.887995569026099E-05   -0.505691904110154E+01
    0.896168984871258E-05   -0.505691904110342E+01
    0.904417631639754E-05   -0.505691904110533E+01
    0.912742201782816E-05   -0.505691904110727E+01
    0.921143394125227E-05   -0.505691904110925E+01
    0.929621913923995E-05   -0.505691904111127E+01
    0.938178472927557E-05   -0.505691904111332E+01
    0.946813789435524E-05   -0.505691904111542E+01
    0.955528588358986E-05   -0.505691904111755E+01
